Title,Director,Cast,Genre,Sources,Year,Source,Composer,Music director
Aakrosh,Govind Nihalani,"Naseeruddin Shah, Smita Patil, Amrish Puri","Drama, Mystery, Thriller",,1980,,,
Aanchal,Anil Ganguly,"Rajesh Khanna, Raakhee, Rekha","Action, Family, Drama, Comedy",,1980,,,
Aap Ke Deewane,Surendra Mohan,"Jeetendra, Rishi Kapoor, Tina Munim, Pran",Romance,,1980,,,
Aap To Aise Na The,Ambrish Sangal,"Raj Babbar, Ranjeeta Kaur, Deepak Parashar","Romance, Drama, Family",,1980,,,
Aasha,J. Om Prakash,"Jeetendra, Reena Roy, Rameshwari","Drama, Family, Musical, Romance",,1980,,,
Abdullah,Sanjay Khan,"Raj Kapoor, Sanjay Khan, Sanjeev Kumar, Zeenat Aman, Parveen Babi","Action, Drama, Family",,1980,,,
Abhimanyu,Mahesh Bhatt,,,,1980,,,
Agent 009,,"Vijendra Mittal, Rehana Sultan, Madhushala, Padma Khanna",,,1980,,,
Agreement,Anil Ganguly,"Rekha, Utpal Dutt, Shailendra Singh","Musical, Comedy, Drama, Family",,1980,,,
Akhri Insaaf,Kalidas,"Mithun Chakraborty, Vijayendra Ghatge, Ashok Kumar",Action,,1980,,,
Albert Pinto Ko Gussa Kyoon Aata Hai,Saeed Akhtar Mirza,"Naseeruddin Shah, Shabana Azmi, Smita Patil","Comedy, Drama, Romance",,1980,,,
Alibaba Aur 40 Chor,"Latif Faiziyev, Umesh Mehra","Dharmendra, Hema Malini, Zeenat Aman","Action, Adventure, Family, Romance",,1980,,,
Ambe Maa Jagdambe Maa,Sukhdev Ahluwalia,"Lata Arora, Yogesh Chhabra, Surjeet Kaur","History, Comedy, Drama, Family",,1980,,,
Angaar,Ashok Roy,"Jayshree T., Yogeeta Bali, Kiran Kumar",Suspense,,1980,,,
Apne Paraye,Basu Chatterji,"Shabana Azmi, Amol Palekar, Girish Karnad","Drama, Family, Comedy",,1980,,,
Arising from the Surface,Mani Kaul,,,,1980,,,
Badla Aur Balidan,Kawal Sharma,"Rajendra Kumar, Vinod Mehra, Asha Parekh",,,1980,,,
Badrinath Dham,Ashish Kumar,Lalita Pawar,,,1980,,,
Bakhe Kadam,,"Joginder Shelly, Sunder",,,1980,,,
Bambai Ka Maharaja,Shibu Mitra,"Shakti Kapoor, Kulbhushan Kharbanda, Raj Kiran",,,1980,,,
Bandish,K. Bapaiah,"Rajesh Khanna, Hema Malini, Danny Denzongpa","Action, Crime, Drama, Romance",,1980,,,
Be-Reham,R. Jhalani,"Brahm Bhardwaj, Urmila Bhatt, Moushumi Chatterjee",,,1980,,,
Beqasoor,B.P. Harisinghaney,"Vikas Anand, Vijay Arora, Master Bhagwan","Action, Crime, Drama, Thriller",,1980,,,
Bhumi Par Aaye Bhagwan,Ravi,"Lokesh, Lakshmi, Jai Jagdish","Action, Drama, Fantasy",,1980,,,
Bin Maa Ke Bachche,Satyen Bose,"Bindu, Master Bittoo, Leela Chitnis",,,1980,,,
Black Water,Shibu Mitra,Raza Murad,,,1980,,,
Bombay 405 Miles,Brij Sadanah,"Zeenat Aman, Vinod Khanna, Shatrughan Sinha, Pran","Comedy, Action",,1980,,,
Chaal Baaz,Hari Mehra,"Deepak Khanna, Jaya Kausalya, Nadira",Action,,1980,,,
Chambal Ki Kasam,Ram Maheshwary,"Pradeep Kumar, Raaj Kumar, Shatrughan Sinha","Action, Crime",,1980,,,
Choron Ki Baaraat,Harmesh Malhotra,"Shatrughan Sinha, Neetu Singh, Ajit Khan",Action,,1980,,,
Chunaoti,Satpal,"Feroz Khan, Neetu Singh, Danny Denzongpa","Action, Thriller",,1980,,,
Desh Drohee,Prakash Mehra,"Saira Banu, Padma Khanna, Keshto Mukherjee, Pran",,,1980,,,
Dhamaka,,"Kiran Kumar, Raza Murad",,,1980,,,
Dhan Daulat,Harish Shah,"Rishi Kapoor, Neetu Singh, Pran",,,1980,,,
Do Aur Do Paanch,Rakesh Kumar,"Shashi Kapoor, Amitabh Bachchan, Hema Malini, Parveen Babi, Kader Khan","Action, Comedy, Drama, Musical, Romance",,1980,,,
Do Premee,Raj Khosla,"Rishi Kapoor, Moushumi Chatterjee, Om Prakash",,,1980,,,
Do Shatru,,"Shatrughan Sinha, Sharmila Tagore",,,1980,,,
Door Waadiyon Mein Kahin,Kishore Kumar,Kishore Kumar,,,1980,,,
Dostana,Raj Khosla,"Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman, Pran",,,1980,,,
Ek Baar Kaho,Lekh Tandon,"Navin Nischol, Shabana Azmi, Kiran Vairale, Dilip Dhawan, Madan Puri, Rajendra Nath","Romance, Family Drama",,1980,,,
Ek Baar Phir (Once Again),Vinod Pande,"Suresh Oberoi, Deepti Naval, Pradeep Verma",Drama,,1980,,,
Ek Do Teen Chaar,Vijay Anand,"Dev Anand, Parveen Babi, Dharmendra",Action,,1980,,,
Ganga Aur Suraj,A. Salaam,"Sunil Dutt, Shashi Kapoor, Reena Roy",,,1980,,,
Ganga Dham,,Raj Mehra,,,1980,,,
Gehrayee,"Arunavikas, Arunavikas","Shreeram Lagoo, Anant Nag, Indrani Mukherjee",Horror,,1980,,,
Garam Khoon,,"Vinod Khanna, Sulakshana Pandit, Helen",,,1980,,,
Guest House,,"Prem Krishan, Padmini Kapila, Vijayendra Ghatge",Horror,,1980,,,
Gunehgaar,Rahul Rawail,"Parveen Babi, Rishi Kapoor, Rajendra Kumar",,,1980,,,
Hum Nahin Sudherenge,Asrani,"Asrani, Rita Bhaduri, Keshto Mukherjee",,,1980,,,
Humkadam,Anil Ganguly,"Raakhee, Parikshat Sahni, Biswajeet","Musical, Drama, Family",,1980,,,
Hum Paanch,Bapu,"Sanjeev Kumar, Shabana Azmi, Mithun Chakraborty, Naseeruddin Shah, Raj Babbar, Gulshan Grover, Amrish Puri","Family, Action",,1980,,,
Insaf Ka Tarazu,B.R. Chopra,"Zeenat Aman, Raj Babbar, Deepak Parashar, Padmini Kolhapure","Drama, Crime, Family",,1980,,,
Jaaye To Jaaye Kahan,,"Prema Narayan, Sachin",,,1980,,,
Jal Mahal,R. Jhalani,"Jeetendra, Rekha, Deven Verma, Pran",Fantasy,,1980,,,
Jazbaat,,"Raj Babbar, Zarina Wahab",,,1980,,,
Judaai,T. Rama Rao,"Ashok Kumar, Jeetendra, Rekha","Family, Drama",,1980,,,
Jwalamukhi,Prakash Mehra,"Waheeda Rehman, Shatrughan Sinha, Reena Roy, Vinod Mehra, Shabana Azmi, Pran","Action, Romance, Drama, Family",,1980,,,
Jyoti Bane Jwala,Dasari Narayana Rao,"Jeetendra, Vinod Mehra, Ashok Kumar, Waheeda Rehman, Moushumi Chatterjee","Action, Drama, Family",,1980,,,
Kali Ghata,Ved Rahi,"Shashi Kapoor, Rekha, Danny Denzongpa","Thriller, Mystery, Romance",,1980,,,
Kasturi,Bimal Dutta,"Agha, Mithun Chakraborty, Arvind Deshpande",Drama,,1980,,,
Khanjar,Atma Ram,"Navin Nischol, Reena Roy, Amjad Khan",,,1980,,,
Karz,Subhash Ghai,"Rishi Kapoor, Tina Munim, Simi Garewal, Prem Nath, Pran, Mac Mohan",Musical,,1980,,,
Khoon Kharaba,,"Pradeep Kumar, Vinod Mehra, Paintal",,,1980,,,
Khubsoorat,Hrishikesh Mukherjee,"Ashok Kumar, Rekha, Rakesh Roshan","Comedy, Drama, Family",,1980,,,
Khwab,Shakti Samanta,"Ashok Kumar, Ranjeeta Kaur, Naseeruddin Shah, Mithun Chakraborty, Yogeeta Bali","Crime, Drama, Romance",,1980,,,
Kismet,Bhisham Kohli,"Mithun Chakraborty, Ranjeeta Kaur, Shakti Kapoor","Action, Family, Musical",,1980,,,
Lahu Pukarega,,"Saira Banu, Bindu, Sunil Dutt",,,1980,,,
