Title,Director,Cast,Genre,Sources,Year,1974Rank,1976Rank,1969Rank,1978Rank,1979Rank
Ek Hasina Do Diwane,S.M. Abbas,"Jeetendra, Babita, Vinod Khanna",Romance,,1972,,,,,
Ek Khiladi Bawan Pattey,,"Vinod Khanna, Ravi Khanna",,,1972,,,,,
Ek Nazar,B.R. Ishara,"Amitabh Bachchan, Jaya Bachchan, Nadira",Romance,,1972,,,,,
Gaon Hamara Shaher Tumhara,Naresh Kumar,"Rajendra Kumar, Rekha",Romance,,1972,,,,,
Garam Masala,Aspi Irani,"Aruna Irani, Mehmood Ali",Comedy,,1972,,,,,
Gomti Ke Kinare,Saawan Kumar Tak,"Meena Kumari, Sameer Khan, Mumtaz",Drama,,1972,,,,,
Gora Aur Kala,Naresh Kumar,"Rekha, Rajendra Kumar, Hema Malini",Action,,1972,,,,,
Grahan,Arvind Kumar Sinha,Nutan,Drama,,1972,,,,,
Haar Jeet,C.P. Dixit,"Rehana Sultan, Anil Dhawan",Drama,,1972,,,,,
Hari Darshan,Chandrakant,"Dara Singh, B. Saroja Devi",Fantasy,,1972,,,,,
Jai Jwala,Manohar Deepak,Sunil Dutt,Drama,,1972,,,,,
Jangal Mein Mangal,Rajendra Bhatia,"Kiran Kumar, Reena Roy, Pran",Romance,,1972,,,,,
Janwar Aur Insaan,Tapi Chanakya,"Shashi Kapoor, Raakhee",Drama,,1972,,,,,
Jawani Diwani,Narendra Bedi,"Randhir Kapoor, Jaya Bhaduri",Romance,,1972,,,,,
Jeet,Adurthi Subba Rao,"Randhir Kapoor, Babita",Romance,,1972,,,,,
Joroo Ka Ghulam,A. Bhimsingh,"Rajesh Khanna, Nanda, Om Prakash",Comedy,,1972,,,,,
Koshish,Sampooran Singh Gulzar,"Sanjeev Kumar, Jaya Bhaduri",,,1972,,,,,
Lalkaar,Ramanand Sagar,"Dharmendra, Rajendra Kumar, Mala Sinha, Kum Kum",Action,,1972,,,,,
Maalik,A. Bhimsingh,"Rajesh Khanna, Sharmila Tagore",Drama,,1972,,,,,
Man Jaiye,B.R. Ishara,Rakesh Pandhya,Drama,,1972,,,,,
Maya Darpan,Kumar Shahani,"Aditi, Anil Pandya",Drama,,1972,,,,,
Mere Bhaiya,Satyen Bose,"Vijay Arora, Suresh Chatwal",Drama,,1972,,,,,
Midnight,Raju,,Romance,,1972,,,,,
Milap,B.R. Ishara,"Shatrughan Sinha, Danny Denzongpa",Action,,1972,,,,,
Mere Jeevan Saathi,Ravi Nagaish,"Rajesh Khanna, Tanuja",Romance,,1972,,,,,
Mome Ki Gudiya,Mohan Kumar,"Ratan Chopra, Tanuja",Drama,,1972,,,,,
Pakeezah,Kamal Amrohi,"Raaj Kumar, Meena Kumari, Ashok Kumar",Drama,,1972,,,,,
Parchhaiyan,Sharankumar Chand,"Vinod Khanna, Bindu",Drama,,1972,,,,,
Parichay,Sampooran Singh Gulzar,"Jeetendra, Jaya Bhaduri, Pran",,,1972,,,,,
Piya Ka Ghar,Basu Chatterjee,"Anil Dhawan, Jaya Badhuri",Drama,,1972,,,,,
Pyaar Diwana,Samar Chatterjee,"Kishore Kumar, Mumtaz",Comedy,,1972,,,,,
Raampur Ka Lakshman,Manmohan Desai,"Randhir Kapoor, Shatrughan Sinha, Rekha",Drama,,1972,,,,,
Raaste Kaa Patthar,Mukul Dutt,"Amitabh Bachchan, Shatrughan Sinha",Action,,1972,,,,,
Raja Jani,Mohan Segal,"Dharmendra, Hema Malini, Prem Nath",Drama,,1972,,,,,
Rakhi Aur Hathkadi,S.M. Sagar,"Ashok Kumar, Asha Parekh",Action,,1972,,,,,
Rani Mera Naam,S.M. Sagar,"Ashok Kumar, Prem Nath",Drama,,1972,,,,,
Rivaaj,T. Prakash Rao,"Farida Jalal, Mala Sinha",Drama,,1972,,,,,
Roop Tera Mastana,Khalid Akhtar,"Jeetendra, Mumtaz, Pran",Romance,,1972,,,,,
Sa-Re-Ga-Ma-Pa,Satyen Bose,Ashok Kumar,Drama,,1972,,,,,
Sabse Bada Sukh,Hrishikesh Mukherjee,"Vijay Arora, Utpal Dutt",Drama,,1972,,,,,
Samaanta,Nitin Bose,Dheeraj Kumar,Drama,,1972,,,,,
Samadhi,Prakash Mehra,"Dharmendra, Jaya Badhuri, Asha Parekh",Romance,,1972,,,,,
Sanjog,S.S. Balan,"Amitabh Bachchan, Mala Sinha",Comedy,,1972,,,,,
Sazaa,Chand,"Kabir Bedi, Rekha, Jeetendra, Ashok Kumar, Yogeeta Bali, Pran",Thriller,,1972,,,,,
Seeta Aur Geeta,Ramesh Sippy,"Dharmendra, Sanjeev Kumar, Hema Malini",Romance,,1972,,,,,
Shaadi Ke Baad,L.V. Prasad,"Jeetendra, Shatrughan Sinha, Raakhee",Drama,,1972,,,,,
Shararat,Manmohan Desai,"Mumtaz, Shatrughan Sinha",Drama,,1972,,,,,
Shayar-e-Kashmir Mahjoor,Prabhat Mukherjee,Balraj Sahni,Drama,,1972,,,,,
Shehzada,K. Shankar,"Rajesh Khanna, Raakhee",Drama,,1972,,,,,
Shor,Manoj Kumar,"Manoj Kumar, Nanda, Jaya Bachchan",Drama,,1972,,,,,
Sub Ka Saathi,A. Bhimsingh,"Vinod Khanna, Bharthi",Drama,,1972,,,,,
Subah-o-Shyam,Tapi Chanakya,"Sanjeev Kumar, Waheeda Rehman",Drama,,1972,,,,,
Sultana Daku,Mohammed Hussain,"Helen, Dara Singh",Drama,,1972,,,,,
Tangewala,Naresh Kumar,"Mumtaz, Sujit Kumar",Action,,1972,,,,,
Tanhai,Naresh Kumar,Rehana Sultan,Drama,,1972,,,,,
Trisandhya,Raj Marbros,Waheeda Rehman,Drama,,1972,,,,,
Victoria No. 203,Brij,"Navin Nischol, Saira Banu, Ashok Kumar, Pran",Drama,,1972,,,,,
Wafaa,Ramanna,"Raakhee, Nasir Hussain, Sanjay Khan",Drama,,1972,,,,,
Yeh Gulistan Hamara,Atma Ra,"Dev Anand, Sharmila Tagore, Pran",Drama,,1972,,,,,
Zameen Aasmaan,A. Veerappan,"Sunil Dutt, Yogeeta Bali",Action,,1972,,,,,
Zaroorat,B.R. Ishara,"Reena Roy, Danny Denzongpa",Drama,,1972,,,,,
Zindagi Zindagi,Tapan Sinha,"Deb Mukherjee, Waheeda Rehman, Farida Jalal, Ashok Kumar",Romance,,1972,,,,,
Aa Gale Lag Jaa,Manmohan Desai,"Shashi Kapoor, Sharmila Tagore, Shatrughan Sinha",Romance,,1973,,,,,
Aaj Ki Taaza Khabar,Rajendra Bhatia,"Radha Saluja, Kiran Kumar",Action,,1973,,,,,
Aangan,Nasir Hussain,,Drama,,1973,,,,,
Abhimaan,Hrishikesh Mukherjee,"Amitabh Bachchan, Jaya Badhuri, Bindu",Drama,,1973,,,,,
Achanak,Gulzar,"Vinod Khanna, Farida Jalal",Crime,,1973,,,,,
Agni Rekha,Mahesh Kaul,"Bindu, Sanjeev Kumar",Drama,,1973,,,,,
