Title,Director,Cast,Genre,Music director,Year,Sources,Opening,Opening.1
Kya Kehna,Kundan Shah,"Preity Zinta, Chandrachur Singh, Farida Jalal, Anupam Kher","Romance, Drama",Rajesh Roshan,2000,,,
Le Chal Apne Sang,Vijay Kondke,"Nishanth, Alok Nath, Beena Banerjee",Romance,,2000,,,
Lekroo,Shrabani Deodhar,"Sania Jhankar, Nimish Kathale, Sachin Khedekar, Mrinal Kulkarni",,,2000,,,
Mela,Dharmesh Darshan,"Aamir Khan, Twinkle Khanna, Faisal Khan, Aishwarya Rai, Johny Lever",Drama,Anu Malik,2000,,,
Meri Jung Ka Elaan,Kanti Shah,Dharmendra,Drama,,2000,,,
Mission Kashmir,Vidhu Vinod Chopra,"Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni","Drama, War, Thriller",Shankar-Ehsan-Loy,2000,,,
Mohabbatein,Aditya Chopra,"Amitabh Bachchan, Shah Rukh Khan, Aishwarya Rai, Uday Chopra, Shamita Shetty, Jugal Hansraj, Kim Sharma, Jimmy Sheirgill, Preeti Jhangiani","Drama, Romance, Musical, Family",Jatin Lalit,2000,,,
Nidaan,Mahesh Manjrekar,"Shivaji Satam, Reema Lagoo, Nisha Bains, Sunil Barve",Drama,,2000,,,
Pandavas: The Five Warriors,Usha Ganesh Raja,,Animation,Ilaiyaraaja,2000,,,
Papa the Great,K. Bhagyaraj,"Krishna Kumar, Nagma",Family,Nikhil-Vinay,2000,,,
Phir Bhi Dil Hai Hindustani,Aziz Mirza,"Shah Rukh Khan, Juhi Chawla, Paresh Rawal, Johny Lever, Dalip Tahil, Satish Shah, Sharat Saxena","Comedy, Drama, Romance, Musical",Jatin Lalit,2000,,,
The Prince of Light,Yugo Sako,"Bryan Cranston, Edie Mirman, Tom Wyner, Richard Cansino",,,2000,,,
Pukar,Rajkumar Santoshi,"Anil Kapoor, Madhuri Dixit, Namrata Shirodkar",Drama,A. R. Rahman,2000,,,
Raja Ko Rani Se Pyar Ho Gaya,T.K. Rajeev Kumar,"Manisha Koirala, Arvind Swamy","Comedy, Musical",,2000,,,
Raju Chacha,Anil Devgan,"Ajay Devgn, Kajol, Rishi Kapoor, Sanjay Dutt",Comedy,Jatin Lalit,2000,,,
Refugee,J. P. Dutta,"Abhishek Bachchan, Kareena Kapoor, Sunil Shetty, Jackie Shroff, Anupam Kher","Drama, Romance",Anu Malik,2000,,,
The Revenge: Geeta Mera Naam,Dilip Gulati,"Birbal, Dharmendra, Jack Gaud, Ali Khan",,,2000,,,
Saanjh,Sabrina Dhawan,"Nandita Das, Sharda Desoares, Arjun Raina, Rahul Vohra",,,2000,,,
Second Generation,,,,,2000,,,
Shikaar,Bobby Raj,"Abhishek Kapoor, Vikas Bhalla, Ayesha Jhulka, Anupam Kher",,,2000,,,
Shikari,N. Chandra,"Govinda, Karishma Kapoor, Tabu","Thriller, Action, Romance",Aadesh Shrivastva,2000,,,
Snip!,Sunil Sippy,"Sohrab Ardeshir, Nikhil Chinappa, Makrand Deshpande, Vekeana Dhillon",,,2000,,,
Sultaan,,Vikas Anand,,,2000,,,
Tapish,Jay Prakash,"Tara Deshpande, Ellora Patnaik, Parvin Dabas, Gajendra Chouhan",,,2000,,,
Tarkieb,Esmayeel Shroff,"Milind Soman, Nana Patekar, Tabu, Shilpa Shetty","Suspense, Thriller",Aadesh Shrivastva,2000,,,
Tera Jadoo Chal Gayaa,A. Muthu,"Abhishek Bachchan, Kirti Reddy, Sanjay Suri",Romance,Ismail Darbar,2000,,,
Tere Liye,Sanjay Gadhvi,"Imran Ahmed Khan, Sonali Khare, Neelu Kohli, Hiten Paintal",,,2000,,,
Tune Mera Dil Le Liyaa,B.B. Bhalla,"Raveena Tandon, Naseeruddin Shah, Rahul Roy, Shakti Kapoor",,,2000,,,
Zindagi Zindabad,Sumitra Bhave–Sunil Sukthankar,"Mita Vasisht, Milind Gunaji, Uttara Baokar, Abhiram Bhadkamkar",,,2000,,,
Abhay,Suresh Krissna,"Kamal Hassan, Manisha Koirala, Raveena Tandon",Thriller,,2001,,,
Aamdani Atthanni Kharcha Rupaiya,K. Raghavendra Rao,"Govinda, Juhi Chawla, Johnny Lever, Tabu, Isha Koppikar",Family Drama,,2001,,,
Aashiq,Indra Kumar,"Bobby Deol, Karisma Kapoor",Action Comedy,,2001,,,
Ajnabee,Abbas Mustan,"Bobby Deol, Akshay Kumar, Kareena Kapoor, Bipasha Basu, Johnny Lever","Thriller, Suspense, Crime",,2001,,,
Aks,Rakeysh Omprakash Mehra,"Amitabh Bachchan, Raveena Tandon, Manoj Bajpai, Nandita Das","Thriller, Horror",,2001,,,
Albela,Deepak Sareen,"Govinda, Aishwarya Rai, Namrata Shirodkar, Jackie Shroff",Romance,,2001,,,
Aśoka,Santosh Sivan,"Shah Rukh Khan, Ajith Kumar, Kareena Kapoor, Hrishita Bhatt",History,,2001,,,
Bas Itna Sa Khwaab Hai,Goldie Behl,"Abhishek Bachchan, Rani Mukerji, Sushmita Sen, Jackie Shroff","Drama, Romance, Social",,2001,,,
Bengal Tiger,,"Mithun Chakraborty, Shakti Kapoor",Action,,2001,,,
Bhairav,,Mithun Chakraborty,,,2001,,,
Censor,Dev Anand,,,,2001,,,
Chandni Bar,Madhur Bhandarkar,"Tabu, Atul Kulkarni",Drama,,2001,,,
Chhupa Rustam: A Musical Thriller,Aziz Sejawal,"Sanjay Kapoor, Mamta Kulkarni, Manisha Koirala",Thriller,,2001,,,
Chori Chori Chupke Chupke,Abbas Mustan,"Salman Khan, Rani Mukerji, Preity Zinta","Drama, Romance, Musical, Social",,2001,,,
Daman,Kalpana Lajmi,"Raveena Tandon, Raima Sen, Sanjay Suri, Sayaji Shinde",Drama,,2001,,,
Dattak,Gul Bahar Singh,"Rajit Kapoor, Anjan Srivastav, A. K. Hangal, Kruttika Desai",,,2001,,,
Deewaanapan,,"Arjun Rampal, Diya Mirza","Drama, Romance",,2001,,,
Dil Chahta Hai,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Dimple Kapadia, Sonali Kulkarni","Drama, Comedy, Romance, Musical",,2001,,,
Dil Ne Phir Yaad Kiya,,"Govinda, Tabu, Pooja Batra",Romance,,2001,,,
Divya Drishti,,,,,2001,,,
Ehsaas: The Feeling,,"Sunil Shetty, Neha",Drama,,2001,,,
Ek Rishtaa: The Bond of Love,Suneel Darshan,"Amitabh Bachchan, Raakhee Gulzar, Akshay Kumar, Karisma Kapoor, Juhi Chawla, Shakti Kapoor",Family Drama,,2001,,,
Farz,Raj Kanwar,"Sunny Deol, Preity Zinta","Action, Romance",,2001,,,
Gadar: Ek Prem Katha,Anil Sharma,"Sunny Deol, Amisha Patel, Amrish Puri","Drama, War, Romance, Action",,2001,,,
Grahan,Shashilal K. Nair,"Jackie Shroff, Manisha Koirala, Anupama Verma",Romance,,2001,,,
Hadh: Life on the Edge of Death,,,,,2001,,,
Hum Ho Gaye Aapke,Agathiyan,"Fardeen Khan, Reema Sen",Romance,,2001,,,
Indian,N. Maharajan,"Sunny Deol, Shilpa Shetty, Danny Denzongpa",Action,,2001,,,
Ittefaq,Sanjay Khanna,"Sunil Shetty, Pooja Batra","Action, Drama, Thriller",,2001,,,
Jodi No.1,David Dhawan,"Sanjay Dutt, Govinda, Twinkle Khanna, Monica Bedi",Comedy,,2001,,,
Kabhi Khushi Kabhie Gham...,Karan Johar,"Amitabh Bachchan, Jaya Bachchan, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor","Drama, Romance, Family",,2001,,,
Kasam,Shibu Mitra,"Sunny Deol, Chunky Pandey",Action,,2001,,,
Kasoor,Vikram Bhatt,"Lisa Ray, Aftab Shivdasani, Divya Dutta",Thriller,,2001,,,
Kuch Khatti Kuch Meethi,Rahul Rawail,"Sunil Shetty, Kajol, Rishi Kapoor, Rati Agnihotri","Comedy, Drama",,2001,,,
Kyo Kii Main Jhuth Nahin Bolta,David Dhawan,"Govinda, Sushmita Sen","Comedy, Romance",,2001,,,
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley, Toby Stephens","Drama, Musical, Social",,2001,,,
Lajja,Rajkumar Santoshi,"Manisha Koirala, Rekha, Madhuri Dixit, Jackie Shroff, Anil Kapoor, Mahima Chaudhry, Ajay Devgn","Drama, Romance, Musical, Crime",,2001,,,
Love Ke Liye Kuchh Bhi Karega,E. Niwas,"Saif Ali Khan, Fardeen Khan, Aftab Shivdasani, Twinkle Khanna, Sonali Bendre",Comedy,,2001,,,
Maya,,,,,2001,,,
Mitti,,,,,2001,,,
Moksha,Ashok Mehta,"Manisha Koirala, Arjun Rampal",Drama,,2001,,,
Mujhe Kucch Kehna Hai,Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Rinke Khanna",Comedy,,2001,,,
Mujhe Meri Biwi Se Bachaao,Harry Baweja,"Naseeruddin Shah, Rekha, Arshad Warsi, Suman Ranganathan","Comedy, Family",,2001,,,
Nayak,S. Shankar,"Anil Kapoor, Rani Mukerji, Paresh Rawal, Amrish Puri, Johnny Lever",Drama,,2001,,,
Officer,Naeem Sha,"Sunil Shetty, Raveena Tandon",Action,,2001,,,
One 2 Ka 4,Shashilal K. Nair,"Shahrukh Khan, Juhi Chawla, Jackie Shroff","Action, Romance",,2001,,,
Paagalpan,Aruna Irani,"Karan Nath, Aarti Agarwal",Romance,,2001,,,
Pyaar Ishq Aur Mohabbat,Rajiv Rai,"Suniel Shetty, Arjun Rampal, Aftab Shivdasani, Isha Koppikar, Kirti Reddy",Romance,,2001,,,
Pyaar Tune Kya Kiya,Rajat Mukherjee,"Urmila Matondkar, Fardeen Khan, Sonali Kulkarni","Drama, Romance, Thriller",,2001,,,
Pyaar Zindagi Hai,,,,,2001,,,
Rahul,Prakash Jha,"Neha, Jatin Grewal, Rajeshwari Sachdev",Drama,,2001,,,
Rehnaa Hai Terre Dil Mein,Gautham Menon,"Saif Ali Khan, Dia Mirza, R. Madhavan",Romance,,2001,,,
Shirdi Sai Baba,,,,,2001,,,
Style,N. Chandra,"Sahil Khan, Sharman Joshi, Riya Sen, Tara Deshpande",Romance,,2001,,,
Tamboo Mein Bamoo,,,,,2001,,,
Tera Mera Saath Rahen,Mahesh Manjrekar,"Ajay Devgn, Sonali Bendre, Namrata Shirodkar",Drama,,2001,,,
Tum Bin,Anubhav Sinha,"Priyanshu Chatterjee, Himanshu Malik, Sandali Sinha, Rakesh Bapat",Romance,,2001,,,
Veer Savarkar,,,,,2001,,,
Yaadein,Subhash Ghai,"Hrithik Roshan, Kareena Kapoor, Jackie Shroff, Amrish Puri","Romance, Drama",,2001,,,
Yeh Raaste Hain Pyaar Ke,Deepak S. Shivdasani,"Ajay Devgan, Madhuri Dixit, Preity Zinta, Sunny Deol",Drama,,2001,,,
Yeh Teraa Ghar Yeh Meraa Ghar,Priyadarshan,"Suniel Shetty, Mahima Chaudhry",Drama,,2001,,,
Yeh Zindagi Ka Safar,Tanuja Chandra,"Amisha Patel, Jimmy Sheirgill",,,2001,,,
Zubeidaa,Shyam Benegal,"Karisma Kapoor, Rekha, Manoj Bajpai, Amrish Puri, Lilette Dubey",Drama,,2001,,,
16 December,Mani Shankar,"Milind Soman, Dipannita Sharma, Gulshan Grover, Aditi Govitrikar, Sushant Singh",Action,,2002,,,
23rd March 1931: Shaheed,Guddu Dhanoa,"Sunny Deol, Bobby Deol, Divya Dutta, Amrita Singh",Historical Drama,,2002,,,
Aankhen,Vipul Shah,"Amitabh Bachchan, Akshay Kumar, Paresh Rawal, Arjun Rampal, Sushmita Sen, Kashmira Shah, Bipasha Basu","Thriller, Action",,2002,,,
Aap Mujhe Achche Lagne Lage,Vikram Bhatt,"Hrithik Roshan, Amisha Patel","Romance, Drama",,2002,,,
Ab Ke Baras,Raj Kanwar,"Amrita Rao, Arya Babbar, Ashish Vidyarthi","Romance, Drama",,2002,,,
Agni Varsha,Arjun Sajnani,"Raveena Tandon, Akkineni Nagarjuna, Prabhu Deva, Milind Soman, Jackie Shroff, Sonali Kulkarni, Amitabh Bachchan",Historical,,2002,,,
Akhiyon Se Goli Maare,Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan",Comedy,,2002,,,
Annarth,Ravi Dewan,"Sunil Shetty, Sanjay Dutt, Ashutosh Rana, Preeti Jhangiani, Johny Lever, Tinu Anand","Action, Thriller",,2002,,,
Ansh: The Deadly Part,,"Om Puri, Ashutosh Rana, Abbas, Sharbani Mukherji","Action, Thriller",,2002,,,
Awara Paagal Deewana,Vikram Bhatt,"Akshay Kumar, Sunil Shetty, Aftab Shivdasani, Amrita Arora, Rahul Dev, Preeti Jhangiani","Action, Comedy",,2002,,,
Baaja,Apurba Kishore Bir,,Children's,,2002,,,
Be-Lagaam,Ram Lakhan,"Aryan Vaid, Pramod Moutho, Tanveer Zaidi",Action,,2002,,,
Badhaai Ho Badhaai,Satish Kaushik,"Anil Kapoor, Shilpa Shetty, Kirti Reddy","Comedy, Drama",,2002,,,
Bollywood Queen,,,,,2002,,,
Bomb the System,,,,,2002,,,
Chalo Ishq Ladaaye,,"Govinda, Rani Mukerji",Comedy,,2002,,,
Chor Machaaye Shor,Aziz Sejawal,"Shilpa Shetty, Bobby Deol, Bipasha Basu","Comedy, Romance, Crime",,2002,,,
Company,Ram Gopal Varma,"Mohanlal, Ajay Devgn, Manisha Koirala, Vivek Oberoi, Antara Mali","Crime, Drama",,2002,,,
Deewangee,,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar,",Thriller,,2002,,,
Desh Devi,,,,,2002,,,
Devdas,Sanjay Leela Bhansali,"Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai, Jackie Shroff","Romance, Drama, Musical, Historical",,2002,,,
Dil Hai Tumhaara,Kundan Shah,"Rekha, Preity Zinta, Mahima Chaudhry, Arjun Rampal, Jimmy Sheirgill, Alok Nath","Family, Romance, Drama",,2002,,,
Dil Vil Pyar Vyar,Anant Mahadevan,"Jimmy Sheirgill, Sanjay Suri, Namrata Shirodkar, R. Madhavan, Sonali Kulkarni, Hrishita Bhatt","Romance, Drama",,2002,,,
Ek Chhotisi Love Story,Shashilal K. Nair,Manisha Koirala,Erotic,,2002,,,
Encounter: The Killing,,,,,2002,,,
Filhaal,Meghna Gulzar,"Tabu, Sushmita Sen, Sanjay Suri",Drama,,2002,,,
Ghaav: The Wound,Kumar Jay,"Pankaj Berry, Rahul Bhatt, Seema Biswas, Gayatri",,,2002,,,
Gunaah,Amol Shetge,"Dino Morea, Bipasha Basu, Irrfan Khan","Thriller, Romance",,2002,,,
Haan Maine Bhi Pyaar Kiya,Dharmesh Darshan,"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan","Drama, Romance",,2002,,,
Hathyar,Mahesh Manjrekar,"Sanjay Dutt, Shilpa Shetty, Namrata Shirodkar",Drama,,2002,,,
Hum Kisise Kum Nahin,David Dhawan,"Amitabh Bachchan, Ajay Devgn, Sanjay Dutt, Aishwarya Rai","Action, Comedy",,2002,,,
Hum Pyar Tumhi Se Kar Baithe,,"Jugal Hansraj, Tina Rana",Romance,,2002,,,
Hum Tumhare Hain Sanam,K. S. Adhiyaman,"Salman Khan, Shah Rukh Khan, Madhuri Dixit, Atul Agnihotri, Aishwarya Rai","Drama, Romance",,2002,,,
Humraaz,Abbas-Mustan,"Bobby Deol, Akshaye Khanna, Amisha Patel","Thriller, Romance, Musical",,2002,,,
Jaani Dushman: Ek Anokhi Kahani,Rajkumar Kohli,"Sunny Deol, Akshay Kumar, Sunil Shetty, Sonu Nigam, Arshad Warsi, Aftab Shivdasani, Manisha Koirala",Fantasy,,2002,,,
Jang Aur Aman,,,,,2002,,,
Jeena Sirf Merre Liye,Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Mallika Sherawat",Romance,,2002,,,
Kaante,Sanjay Gupta,"Amitabh Bachchan, Sanjay Dutt, Suniel Shetty, Kumar Gaurav, Mahesh Manjrekar, Lucky Ali, Malaika Arora, Rati Agnihotri","Action, Thriller",,2002,,,
Kabhie Tum Kabhie Hum,,,,,2002,,,
Karz: The Burden of Truth,Harry Baweja,"Sunny Deol, Sunil Shetty, Shilpa Shetty","Action, Thriller",,2002,,,
Kehtaa Hai Dil Baar Baar,Rahul Dholakia,"Jimmy Shergill, Kim Sharma, Paresh Rawal",,,2002,,,
Kitne Door Kitne Paas,,"Fardeen Khan, Amrita Arora, Sonali Kulkarni","Romance, Drama, Comedy",,2002,,,
Koi Mere Dil Se Poochhe,Boney Kapoor,"Jaya Bachchan, Esha Deol, Aftab Shivdasani, Sanjay Kapoor, Anupam Kher","Drama, Romance, Social",,2002,,,
Kranti,,"Bobby Deol, Amisha Patel",,,2002,,,
Kuch Tum Kaho Kuch Hum Kahein,,"Fardeen Khan, Richa Pallod",Romance,,2002,,,
Kya Yehi Pyaar Hai,,"Amisha Patel, Aftab Shivdasani, Jackie Shroff",,,2002,,,
Kyaa Dil Ne Kahaa,,"Tusshar Kapoor, Esha Deol",Romance,,2002,,,
Lal Salaam,Gaganvihari Borate,"Nandita Das, Sharad Kapoor, Makrand Deshpande, Vijay Raaz",,,2002,,,
Maa Tujhhe Salaam,,"Sunny Deol, Tabu, Arbaaz Khan",Drama,,2002,,,
Maine Dil Tujhko Diya,Sohail Khan,"Sohail Khan, Sameera Reddy, Sanjay Dutt, Kabir Bedi","Action, Romance",,2002,,,
Makdee,Vishal Bhardwaj,"Shabana Azmi, Makarand Deshpande",,,2002,,,
Maseeha,Partho Ghosh,"Sunil Shetty, Namrata Shirodkar",Action,,2002,,,
Mere Yaar Ki Shaadi Hai,Sanjay Gadhvi,"Uday Chopra, Bipasha Basu, Tulip Joshi, Jimmy Shergill",Romance,,2002,,,
"Mitr, My Friend",Revathi,"Shobhana, Matt Phillips",Drama,,2002,,,
Mohabbat Ho Gayi Hai Tumse,,"Sanjay Dutt, Shamita Shetty, Chandrachur Singh",,,2002,,,
Mujhse Dosti Karoge!,Kunal Kohli,"Hrithik Roshan, Rani Mukerji, Kareena Kapoor","Romance, Drama, Comedy, Musical",,2002,,,
Mulaqaat,,"Vinay Anand, Arun Bakshi, Rita Bhaduri, Milind Gunaji",,,2002,,,
Na Tum Jaano Na Hum,Arjun Sablok,"Saif Ali Khan, Hrithik Roshan, Esha Deol","Romance, Drama",,2002,,,
Nishad,,,,,2002,,,
Om Jai Jagadish,Anupam Kher,"Waheeda Rehman, Anil Kapoor, Fardeen Khan, Abhishek Bachchan, Mahima Chaudhry, Urmila Matondkar, Tara Sharma","Family, Drama, Social",,2002,,,
Pitaah,,"Sanjay Dutt, Nandita Das, Jackie Shroff, Om Puri",,,2002,,,
Pyaar Diwana Hota Hai,,"Govinda, Rani Mukerji",Romance,,2002,,,
Pyar Ki Dhun,,,,,2002,,,
Pyaasa,,"Yukta Mookhey, Aftab Shivdasani","Action, Crime",,2002,,,
Raaz,,"Bipasha Basu, Dino Morea","Horror, Thriller, Romance, Musical",,2002,,,
Rishtey,,"Anil Kapoor, Karisma Kapoor, Shilpa Shetty","Drama, Family",,2002,,,
Road,,"Vivek Oberoi, Antara Mali, Manoj Bajpai",Thriller,,2002,,,
Saathiya,Shaad Ali,"Vivek Oberoi, Rani Mukerji, Shah Rukh Khan, Tabu","Drama, Romance, Social, Musical",,2002,,,
Shaheed-E-Azam,Sukumar Nair,"Sonu Sood, Raz Zutshi, Dev Gill","Historical, Drama",,2002,,,
Shakti - The Power,Boney Kapoor,"Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Shahrukh Khan",Drama,,2002,,,
Shararat,,"Abhishek Bachchan, Hrishita Bhatt","Comedy, Drama",,2002,,,
Soch,,"Sanjay Kapoor, Arbaaz Khan, Raveena Tandon",,,2002,,,
Sur: The Melody of Life,Tanuja Chandra,"Lucky Ali, Gauri Karnik",Musical,,2002,,,
The Legend of Bhagat Singh,Rajkumar Santoshi,"Ajay Devgn, Amrita Rao, Sushant Singh","Historical, Drama",,2002,,,
Tumko Na Bhool Paayenge,,"Salman Khan, Dia Mirza, Sushmita Sen",Drama,,2002,,,
Tum Se Achcha Kaun Hai,,"Rati Agnihotri, Aarti Chabria, Ali Asghar",,,2002,,,
Waah! Tera Kya Kehna,,"Govinda, Raveena Tandon, Preeti Jhangiani",,,2002,,,
Yeh Dil Aashiqanaa,Kuku Kohli,"Karan Nath, Jividha Sharma",,,2002,,,
Yeh Hai Jalwa,David Dhawan,"Rishi Kapoor, Salman Khan, Amisha Patel, Rinke Khanna, Rati Agnihotri, Sanjay Dutt, Anupam Kher",Comedy,,2002,,,
Yeh Kaisi Mohabbat,,,,,2002,,,
Yeh Kya Ho Raha Hai?,Hansal Mehta,"Prashant Chianani, Aamir Ali, Vaibhav Jhalani, Yash Pandit, Payal Rohatgi","Comedy, Romance",,2002,,,
Yeh Mohabbat Hai,,"Rahul Bhatt, Johnny Lever",,,2002,,,
Zindagi Khoobsoorat Hai,Manoj Punj,"Gurdas Maan, Tabu, Divya Dutta, Rajat Kapoor",,,2002,,,
3 Deewarein,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla",Drama,,2003,,,
88 Antop Hill,Kushan Nandy,"Rahul Dev, Shweta Menon, Atul Kulkarni",Thriller,,2003,,,
Aaj Ka Andha Kanoon,,Sudesh Berry,,,2003,,,
Aanch,,"Nana Patekar, Paresh Rawal",,,2003,,,
Aapko Pehle Bhi Kahin Dekha Hai,Anubhav Sinha,"Priyanshu Chatterji, Sakshi Shivanand, Om Puri, Farida Jalal",Romance,,2003,,,
Lavish Jain,,,,,2003,,,
Andaaz,Suneel Darshan,"Akshay Kumar, Priyanka Chopra, Lara Dutta",Romance,,2003,,,
Armaan,Honey Irani,"Amitabh Bachchan, Anil Kapoor, Preity Zinta, Gracy Singh, Randhir Kapoor","Drama, Family",,2003,,,
Baap Ka daap,,,,,2003,,,
Baaz: A Bird in Danger,Tinnu Verma,"Sunil Shetty, Karisma Kapoor, Dino Morea, Jackie Shroff",Thriller,,2003,,,
Baghban,Ravi Chopra,"Amitabh Bachchan, Hema Malini, Aman Verma, Samir Soni, Rimi Sen, Suman Ranganathan, Divya Dutta, Salman Khan, Paresh Rawal, Mahima Chaudhry","Drama, Family",,2003,,,
Bas Yun Hi,Raja Menon,"Nandita Das, Purab Kohli, Sameer Malhotra, Sandhya Shetty",Drama,,2003,,,
Basti,,"Samir Soni, Faisal Khan",Action,,2003,,,
Bhoot,Ram Gopal Varma,"Urmila Matondkar, Rekha, Ajay Devgn, Nana Patekar, Fardeen Khan",Horror,,2003,,,
Boom,,"Amitabh Bachchan, Jackie Shroff, Gulshan Grover, Katrina Kaif, Madhu Sapre, Padma Lakshmi",Thriller,,2003,,,
Butterfly,,,,,2003,,,
The Bypass,,,,,2003,,,
Calcutta Mail,Sudhir Mishra,"Anil Kapoor, Rani Mukerji, Manisha Koirala",Drama,,2003,,,
Chalte Chalte,Aziz Mirza,"Shah Rukh Khan, Rani Mukerji","Drama, Romance, Comedy, Musical",,2003,,,
Chori Chori,Milan Luthria,"Ajay Devgn, Rani Mukerji, Sonali Bendre",Romance,,2003,,,
Chupke Se,,"Zulfi Syed, Masumeh Makhija",,,2003,,,
Chura Liyaa Hai Tumne,Sangeeth Sivan,"Zayed Khan, Esha Deol","Action, Drama, Romance, Thriller",,2003,,,
Dabdaba,,,,,2003,,,
Danav,,,,,2003,,,
Darna Mana Hai,,"Saif Ali Khan, Shilpa Shetty, Sameera Reddy, Vivek Oberoi, Sohail Khan, Aftab Shivdasani, Antara Mali, Nana Patekar, Rajpal Yadav, Isha Koppikar, Sanjay Kapoor","Horror, Thriller",,2003,,,
Dhoop,,"Om Puri, Revathi, Sanjay Suri",,,2003,,,
Dhund,,"Sameer Upadhyay, Aditi Gowitrikar",,,2003,,,
Dil Ka Rishta,,"Arjun Rampal, Aishwarya Rai, Priyanshu Chatterjee, Isha Koppikar, Raakhee, Paresh Rawal","Drama, Romance",,2003,,,
Dil Pardesi Ho Gayaa,,,Romance,,2003,,,
Dum,,"Vivek Oberoi, Diya Mirza, Atul Kulkarni","Action, Drama, Romance",,2003,,,
Ek Alag Mausam,,"Nandita Das, Anupam Kher",,,2003,,,
Ek Aur Ek Gyarah,,"Sanjay Dutt, Govinda, Amrita Arora",Comedy,,2003,,,
Ek Din 24 Ghante,Anant Balani,"Rahul Bose, Nandita Das",,,2003,,,
Escape from Taliban,,Manisha Koirala,Drama,,2003,,,
Final Solution,,,,,2003,,,
Footpath,,"Aftab Shivdasani, Bipasha Basu, Emraan Hashmi, Rahul Dev,",Drama,,2003,,,
Fun2shh... Dudes in the 10th Century,Imtiaz Punjabi,"Gulshan Grover, Paresh Rawal, Farida Jalal",,,2003,,,
Gangaajal,Prakash Jha,"Ajay Devgn, Gracy Singh","Drama, Social",,2003,,,
Green Card Fever,Bala Rajasekharuni,"Deep Katdare, Purva Bedi, Vikram Dasu",Drama,,2003,,,
Haasil,Tigmanshu Dhulia,"Jimmy Sheirgill, Irrfan Khan, Hrishita Bhatt",Drama,,2003,,,
Hawa,,"Tabu, Shahbaz Khan",Horror,,2003,,,
Hawayein,,,,,2003,,,
The Hero: Love Story of a Spy,Anil Sharma,"Sunny Deol, Preity Zinta, Priyanka Chopra","Drama, Action, Thriller",,2003,,,
Humein Tumse Pyar Ho Gaya Chupke Chupke,,,,,2003,,,
Hungama,Priyadarshan,"Akshaye Khanna, Rimi Sen, Aftab Shivdasani, Rajpal Yadav, Paresh Rawal",Comedy,,2003,,,
Indian Babu,,,,,2003,,,
Inteha,,"Vidya Malvade, Ashmit Patel","Drama, Thriller",,2003,,,
Ishq Vishk,Ken Ghosh,"Shahid Kapoor, Amrita Rao",Romance,,2003,,,
Jaal: The Trap,Guddu Dhanoa,"Sunny Deol, Tabu, Reema Sen","Action, Romance",,2003,,,
Jajantaram Mamantaram,,Javed Jaffrey,,,2003,,,
Janasheen,,"Fardeen Khan, Celina Jaitley, Feroz Khan",Thriller,,2003,,,
Jhankaar Beats,,"Juhi Chawla, Rahul Bose, Rinke Khanna, Sanjay Suri, Riya Sen","Drama, Musical",,2003,,,
Jism,Anurag Basu,"Bipasha Basu, John Abraham, Gulshan Grover","Drama, Romance, Thriller",,2003,,,
Jodi Kya Banayi Wah Wah Ramji,,,,,2003,,,
Joggers Park,Anant Balani,"Victor Banerjee, Perizaad Zorabian",,,2003,,,
Kaash... Hamara Dil Pagal Na Hota,Mangal Anand,"Mukesh Ahuja, Chetan Aneja Nigel Borade",,,2003,,,
Kagaar: Life on the Edge,N. Chandra,"Om Puri, Nandita Das, Amitabh Dayal",,,2003,,,
Kahan Ho Tum,,,,,2003,,,
Kaise Kahoon Ke... Pyaar Hai,,Sunny Deol,,,2003,,,
Kal Ho Naa Ho,Nikhil Advani,"Jaya Bachchan, Shah Rukh Khan, Saif Ali Khan, Preity Zinta","Drama, Romance, Comedy, Family, Musical, Social",,2003,,,
Kash Aap Hamare Hote,,"Juhi Babbar, Sonu Nigam",Romance,,2003,,,
Kaya Poochhe Maya Se,,,,,2003,,,
Khanjar: The Knife,Chander Sharma,"Sunil Shetty, Tabu",Action,,2003,,,
Khel – No Ordinary Game,Yusuf Khan,"Sunil Shetty, Sunny Deol, Ajay Jadeja, Celina Jaitley",Thriller,,2003,,,
Khushi,S. J. Surya,"Fardeen Khan, Kareena Kapoor, Amrish Puri",Romance,,2003,,,
Khwahish,Govind Menon,"Mallika Sherawat, Himanshu Malik",Drama,,2003,,,
Koi... Mil Gaya,Rakesh Roshan,"Rekha, Hrithik Roshan, Preity Zinta","Romance, Fantasy, Musical",,2003,,,
